time,rip_strength,scale_factor
2.470000,0.043298,358206898421195264.000000
2.480000,0.041186,358934592627685952.000000
2.490000,0.039177,359645743982259776.000000
2.500000,0.037267,360340694165214784.000000
2.510000,0.035449,361019779487779008.000000
2.520000,0.033720,361683330888298816.000000
2.530000,0.032076,362331673934260224.000000
2.540000,0.030511,362965128829781440.000000
2.550000,0.029023,363584010428230400.000000
2.560000,0.027608,364188628249635456.000000
2.570000,0.026261,364779286502572800.000000
2.580000,0.024981,365356284110226944.000000
2.590000,0.023762,365919914740336128.000000
2.600000,0.022603,366470466838746624.000000
2.610000,0.021501,367008223666312256.000000
2.620000,0.020452,367533463338889408.000000
2.630000,0.019455,368046458870188608.000000
2.640000,0.018506,368547478217255744.000000
2.650000,0.017603,369036784328366208.000000
2.660000,0.016745,369514635193128384.000000
2.670000,0.015928,369981283894599744.000000
2.680000,0.015151,370436978663232448.000000
2.690000,0.014412,370881962932471488.000000
2.700000,0.013710,371316475395840768.000000
2.710000,0.013041,371740750065358400.000000
2.720000,0.012405,372155016331133504.000000
2.730000,0.011800,372559499022003008.000000
2.740000,0.011224,372954418467076160.000000
2.750000,0.010677,373339990558060544.000000
2.760000,0.010156,373716426812251968.000000
2.770000,0.009661,374083934436076480.000000
2.780000,0.009190,374442716389079232.000000
2.790000,0.008742,374792971448262400.000000
2.800000,0.008315,375134894272678080.000000
2.810000,0.007910,375468675468190656.000000
2.820000,0.007524,375794501652326016.000000
2.830000,0.007157,376112555519131456.000000
2.840000,0.006808,376423015903975040.000000
2.850000,0.006476,376726057848217600.000000
2.860000,0.006160,377021852663695168.000000
2.870000,0.005860,377310567996953792.000000
2.880000,0.005574,377592367893183168.000000
2.890000,0.005302,377867412859798272.000000
2.900000,0.005043,378135859929623872.000000
2.910000,0.004798,378397862723637824.000000
2.920000,0.004564,378653571513234944.000000
2.930000,0.004341,378903133281973312.000000
2.940000,0.004129,379146691786771392.000000
2.950000,0.003928,379384387618524224.000000
2.960000,0.003736,379616358262111104.000000
2.970000,0.003554,379842738155769536.000000
2.980000,0.003381,380063658749812160.000000
2.990000,0.003216,380279248564665984.000000
3.000000,0.003059,380489633248215680.000000
3.010000,0.002910,380694935632433728.000000
3.020000,0.002768,380895275789283392.000000
3.030000,0.002633,381090771085881216.000000
3.040000,0.002505,381281536238907776.000000
3.050000,0.002382,381467683368257920.000000
3.060000,0.002266,381649322049920896.000000
3.070000,0.002156,381826559368085248.000000
3.080000,0.002051,381999499966462144.000000
3.090000,0.001951,382168246098822912.000000
3.100000,0.001855,382332897678749056.000000
3.110000,0.001765,382493552328590720.000000
3.120000,0.001679,382650305427634816.000000
3.130000,0.001597,382803250159481920.000000
3.140000,0.001519,382952477558632384.000000
3.150000,0.001445,383098076556284608.000000
3.160000,0.001375,383240134025347520.000000
3.170000,0.001307,383378734824669632.000000
3.180000,0.001244,383513961842490240.000000
3.190000,0.001183,383645896039115968.000000
3.200000,0.001125,383774616488828352.000000
3.210000,0.001070,383900200421027712.000000
3.220000,0.001018,384022723260620160.000000
3.230000,0.000969,384142258667652928.000000
3.240000,0.000921,384258878576206400.000000
3.250000,0.000876,384372653232549248.000000
3.260000,0.000834,384483651232564160.000000
3.270000,0.000793,384591939558453248.000000
3.280000,0.000754,384697583614729984.000000
3.290000,0.000718,384800647263506624.000000
3.300000,0.000683,384901192859086144.000000
3.310000,0.000649,384999281281867200.000000
3.320000,0.000618,385094971971571072.000000
3.330000,0.000587,385188322959799744.000000
3.340000,0.000559,385279390901934912.000000
3.350000,0.000532,385368231108386880.000000
3.360000,0.000506,385454897575202752.000000
3.370000,0.000481,385539443014043904.000000
3.380000,0.000458,385621918881541888.000000
3.390000,0.000435,385702375408043264.000000
3.400000,0.000414,385780861625751680.000000
3.410000,0.000394,385857425396278656.000000
3.420000,0.000375,385932113437611328.000000
3.430000,0.000356,386004971350507392.000000
3.440000,0.000339,386076043644327296.000000
3.450000,0.000322,386145373762312896.000000
3.460000,0.000307,386213004106322176.000000
3.470000,0.000292,386278976061030016.000000
3.480000,0.000278,386343330017603840.000000
3.490000,0.000264,386406105396864704.000000
3.500000,0.000251,386467340671942016.000000
3.510000,0.000239,386527073390431936.000000
3.520000,0.000227,386585340196068864.000000
3.530000,0.000216,386642176849917888.000000
3.540000,0.000206,386697618251099520.000000
3.550000,0.000196,386751698457053120.000000
3.560000,0.000186,386804450703350144.000000
