time_myr,rip_mean,rip_std
11000,1.3683909729818e-15,4.195118074072353e-18
11100,1.4027932915024002e-15,4.2183991007651026e-18
11200,1.43788293042454e-15,4.22123486101955e-18
11300,1.4732310915071001e-15,4.1749469976530196e-18
11400,1.5091290617660993e-15,4.272194273972428e-18
11500,1.5458571303938398e-15,4.366622149925578e-18
11600,1.5827834539850198e-15,4.560983432926114e-18
11700,1.6206716481688999e-15,4.680897784019114e-18
11800,1.6588971202240197e-15,4.617181946161861e-18
11900,1.6976237872727801e-15,4.731306053873161e-18
12000,1.73700226886016e-15,4.676268054620036e-18
12100,1.77694788865676e-15,4.741207320805982e-18
12200,1.8173209668357597e-15,4.888844561250396e-18
12300,1.8584080088031995e-15,4.8569215605087555e-18
12400,1.9001402554722402e-15,4.985617551132435e-18
12500,1.9424248185607403e-15,5.113546966316044e-18
12600,1.9851922974580198e-15,5.242980110417501e-18
12700,2.02848512914416e-15,5.466246286147018e-18
12800,2.07225195160492e-15,5.2828830487714e-18
12900,2.1168340202391994e-15,5.272850792232118e-18
13000,2.1619239648197397e-15,5.5638621029659034e-18
13100,2.2075093700700804e-15,5.5173924931367216e-18
13200,2.25377766596528e-15,5.460067241962231e-18
13300,2.3005281769995004e-15,5.3580745269849295e-18
13400,2.3481928708379196e-15,5.462858205338187e-18
13500,2.3965007353619803e-15,5.5461595216320624e-18
13600,2.4451028839512596e-15,5.6851847146247835e-18
13700,2.494464680617781e-15,5.66738848040692e-18
13800,2.54446551693276e-15,5.584796407073718e-18
